Loading dataset: tatsu-lab/alpaca
Total samples loaded: 52002
Dropped 28 samples with empty output fields.
Train dataset size:      46776
Validation dataset size: 5198
Output directory: ./sft-lora-Llama-3.2-3B-alpaca-r32-a64-d0.05-lr2.0e-05-wd0.01
Max sequence length: 131072
Train dataset size:      46776
Validation dataset size: 5198
trainable params: 48,627,712 || all params: 3,261,377,536 || trainable%: 1.4910175673694221
{'loss': 1.7025, 'grad_norm': 1.1875, 'learning_rate': 1.3333333333333336e-07, 'mean_token_accuracy': 0.5962013974785805, 'epoch': 0.0}
{'loss': 1.9556, 'grad_norm': 1.96875, 'learning_rate': 6.666666666666667e-07, 'mean_token_accuracy': 0.5372512079775333, 'epoch': 0.0}
{'loss': 2.0236, 'grad_norm': 2.4375, 'learning_rate': 1.3333333333333334e-06, 'mean_token_accuracy': 0.53491091132164, 'epoch': 0.01}
{'loss': 2.0999, 'grad_norm': 2.921875, 'learning_rate': 2.0000000000000003e-06, 'mean_token_accuracy': 0.516904330253601, 'epoch': 0.01}
{'loss': 2.2007, 'grad_norm': 2.328125, 'learning_rate': 2.666666666666667e-06, 'mean_token_accuracy': 0.5012625351548194, 'epoch': 0.01}
{'loss': 2.2924, 'grad_norm': 2.1875, 'learning_rate': 3.3333333333333333e-06, 'mean_token_accuracy': 0.492069435864687, 'epoch': 0.02}
{'loss': 2.4699, 'grad_norm': 2.3125, 'learning_rate': 4.000000000000001e-06, 'mean_token_accuracy': 0.4628478609025478, 'epoch': 0.02}
{'loss': 2.559, 'grad_norm': 2.40625, 'learning_rate': 4.666666666666667e-06, 'mean_token_accuracy': 0.443541894108057, 'epoch': 0.02}
{'loss': 2.5462, 'grad_norm': 2.34375, 'learning_rate': 5.333333333333334e-06, 'mean_token_accuracy': 0.43431316390633584, 'epoch': 0.03}
{'loss': 2.5332, 'grad_norm': 2.59375, 'learning_rate': 6e-06, 'mean_token_accuracy': 0.4423576682806015, 'epoch': 0.03}
{'loss': 2.5346, 'grad_norm': 3.5625, 'learning_rate': 6.666666666666667e-06, 'mean_token_accuracy': 0.44845507442951205, 'epoch': 0.03}
{'loss': 1.6404, 'grad_norm': 0.80859375, 'learning_rate': 7.333333333333333e-06, 'mean_token_accuracy': 0.5822795569896698, 'epoch': 0.04}
{'loss': 1.6421, 'grad_norm': 0.96875, 'learning_rate': 8.000000000000001e-06, 'mean_token_accuracy': 0.574075274169445, 'epoch': 0.04}
{'loss': 1.6197, 'grad_norm': 1.1640625, 'learning_rate': 8.666666666666668e-06, 'mean_token_accuracy': 0.5885744825005531, 'epoch': 0.04}
{'loss': 1.6008, 'grad_norm': 1.2421875, 'learning_rate': 9.333333333333334e-06, 'mean_token_accuracy': 0.6038095638155937, 'epoch': 0.05}
{'loss': 1.4498, 'grad_norm': 1.5390625, 'learning_rate': 1e-05, 'mean_token_accuracy': 0.6336936295032501, 'epoch': 0.05}
{'loss': 1.4436, 'grad_norm': 1.3125, 'learning_rate': 1.0666666666666667e-05, 'mean_token_accuracy': 0.6731074213981628, 'epoch': 0.05}
{'loss': 1.3676, 'grad_norm': 1.7890625, 'learning_rate': 1.1333333333333334e-05, 'mean_token_accuracy': 0.703018718957901, 'epoch': 0.06}
{'loss': 1.2667, 'grad_norm': 9.4375, 'learning_rate': 1.2e-05, 'mean_token_accuracy': 0.7228052407503128, 'epoch': 0.06}
{'loss': 1.1857, 'grad_norm': 9.9375, 'learning_rate': 1.2666666666666667e-05, 'mean_token_accuracy': 0.7404856815934181, 'epoch': 0.06}
{'loss': 1.1684, 'grad_norm': 1.5390625, 'learning_rate': 1.3333333333333333e-05, 'mean_token_accuracy': 0.7581015571951866, 'epoch': 0.07}
{'eval_loss': 1.2550333738327026, 'eval_runtime': 650.8114, 'eval_samples_per_second': 7.987, 'eval_steps_per_second': 1.998, 'eval_mean_token_accuracy': 0.7055768263798493, 'epoch': 0.07}
{'loss': 1.379, 'grad_norm': 0.82421875, 'learning_rate': 1.4e-05, 'mean_token_accuracy': 0.6487208634614945, 'epoch': 0.07}
{'loss': 1.3118, 'grad_norm': 0.609375, 'learning_rate': 1.4666666666666666e-05, 'mean_token_accuracy': 0.6577675327658653, 'epoch': 0.08}
{'loss': 1.2668, 'grad_norm': 0.8359375, 'learning_rate': 1.5333333333333334e-05, 'mean_token_accuracy': 0.6743880689144135, 'epoch': 0.08}
{'loss': 1.2339, 'grad_norm': 0.67578125, 'learning_rate': 1.6000000000000003e-05, 'mean_token_accuracy': 0.6901972934603691, 'epoch': 0.08}
{'loss': 1.1837, 'grad_norm': 1.0625, 'learning_rate': 1.6666666666666667e-05, 'mean_token_accuracy': 0.7025095522403717, 'epoch': 0.09}
{'loss': 1.1207, 'grad_norm': 0.8828125, 'learning_rate': 1.7333333333333336e-05, 'mean_token_accuracy': 0.7278731137514114, 'epoch': 0.09}
{'loss': 1.0552, 'grad_norm': 1.140625, 'learning_rate': 1.8e-05, 'mean_token_accuracy': 0.7536277815699577, 'epoch': 0.09}
{'loss': 0.9996, 'grad_norm': 1.3359375, 'learning_rate': 1.866666666666667e-05, 'mean_token_accuracy': 0.765667374432087, 'epoch': 0.1}
{'loss': 0.9701, 'grad_norm': 1.4140625, 'learning_rate': 1.9333333333333333e-05, 'mean_token_accuracy': 0.7671860173344612, 'epoch': 0.1}
{'loss': 0.9606, 'grad_norm': 2.40625, 'learning_rate': 2e-05, 'mean_token_accuracy': 0.7724445462226868, 'epoch': 0.1}
{'loss': 1.2757, 'grad_norm': 0.73046875, 'learning_rate': 1.9989930665413148e-05, 'mean_token_accuracy': 0.6610060542821884, 'epoch': 0.11}
{'loss': 1.2127, 'grad_norm': 0.76953125, 'learning_rate': 1.9959742939952393e-05, 'mean_token_accuracy': 0.6791602149605751, 'epoch': 0.11}
{'loss': 1.1972, 'grad_norm': 0.640625, 'learning_rate': 1.990949761767935e-05, 'mean_token_accuracy': 0.6808086574077606, 'epoch': 0.11}
{'loss': 1.1297, 'grad_norm': 0.5234375, 'learning_rate': 1.98392958859863e-05, 'mean_token_accuracy': 0.701474429666996, 'epoch': 0.12}
{'loss': 1.0827, 'grad_norm': 0.59765625, 'learning_rate': 1.9749279121818235e-05, 'mean_token_accuracy': 0.7162517979741096, 'epoch': 0.12}
{'loss': 1.0112, 'grad_norm': 0.515625, 'learning_rate': 1.9639628606958535e-05, 'mean_token_accuracy': 0.7441652327775955, 'epoch': 0.12}
{'loss': 0.8817, 'grad_norm': 0.5859375, 'learning_rate': 1.9510565162951538e-05, 'mean_token_accuracy': 0.7843515753746033, 'epoch': 0.13}
{'loss': 0.8832, 'grad_norm': 0.55078125, 'learning_rate': 1.9362348706397374e-05, 'mean_token_accuracy': 0.7818757236003876, 'epoch': 0.13}
{'loss': 0.8729, 'grad_norm': 0.58984375, 'learning_rate': 1.919527772551451e-05, 'mean_token_accuracy': 0.7884147718548775, 'epoch': 0.13}
{'loss': 0.8234, 'grad_norm': 1.3671875, 'learning_rate': 1.900968867902419e-05, 'mean_token_accuracy': 0.803439874947071, 'epoch': 0.14}
{'eval_loss': 1.0486544370651245, 'eval_runtime': 649.5438, 'eval_samples_per_second': 8.003, 'eval_steps_per_second': 2.001, 'eval_mean_token_accuracy': 0.7357448654449903, 'epoch': 0.14}
{'loss': 1.3169, 'grad_norm': 0.51953125, 'learning_rate': 1.880595531856738e-05, 'mean_token_accuracy': 0.6543608367443084, 'epoch': 0.14}
{'loss': 1.206, 'grad_norm': 0.44921875, 'learning_rate': 1.8584487936018663e-05, 'mean_token_accuracy': 0.6821274802088737, 'epoch': 0.14}
{'loss': 1.16, 'grad_norm': 0.423828125, 'learning_rate': 1.834573253721303e-05, 'mean_token_accuracy': 0.6915376469492912, 'epoch': 0.15}
{'loss': 1.1162, 'grad_norm': 0.43359375, 'learning_rate': 1.8090169943749477e-05, 'mean_token_accuracy': 0.7076553508639336, 'epoch': 0.15}
{'loss': 1.0702, 'grad_norm': 0.5078125, 'learning_rate': 1.78183148246803e-05, 'mean_token_accuracy': 0.7202414259314537, 'epoch': 0.15}
{'loss': 0.9945, 'grad_norm': 0.486328125, 'learning_rate': 1.7530714660036112e-05, 'mean_token_accuracy': 0.7439788356423378, 'epoch': 0.16}
{'loss': 0.907, 'grad_norm': 0.703125, 'learning_rate': 1.7227948638273918e-05, 'mean_token_accuracy': 0.7743755117058754, 'epoch': 0.16}
{'loss': 0.8695, 'grad_norm': 0.55859375, 'learning_rate': 1.691062648986865e-05, 'mean_token_accuracy': 0.7909558534622192, 'epoch': 0.16}
{'loss': 0.8127, 'grad_norm': 0.59765625, 'learning_rate': 1.657938725939713e-05, 'mean_token_accuracy': 0.7925901994109154, 'epoch': 0.17}
